latitude,longitude,altitude (m)
43.00259626,77.00185896,3134.8
43.0028655,77.00201863,3128.4
43.00308108,77.00214648,3123.4
43.00340398,77.00234144,3115
43.00374711,77.00247279,3105.1
43.0041455,77.00263539,3092.7
43.0045815,77.00287959,3083.4
43.00487672,77.00295331,3080.3
43.00514943,77.00310398,3076.4
43.00525894,77.00316255,3075.2
43.00558686,77.00334351,3072.5
43.00572785,77.00351244,3069.3
43.0059234,77.00371168,3063.1
43.00628035,77.00403471,3044.3
43.00663764,77.00436522,3026.3
43.0067243,77.00451112,3023.5
43.00694253,77.00465146,3020.4
43.00728255,77.00500502,3017.1
43.00753484,77.00522374,3016.2
43.0078966,77.00549987,3016
43.00820329,77.0057413,3016.6
43.00847701,77.00587589,3018.7
43.00880485,77.00603629,3023.1
43.00928554,77.00609898,3029.4
43.00971072,77.00613499,3037.3
43.00994959,77.00615745,3041.8
43.01037125,77.00616859,3056.1
43.01073712,77.00615106,3069
43.01089741,77.00621522,3075.1
43.01131516,77.00622516,3088.1
43.01167943,77.00622337,3099.3
43.01196868,77.0062767,3107.3
43.01218239,77.00637942,3112.4
43.01239394,77.00647048,3116.8
43.01276305,77.00662938,3128.7
43.01287818,77.00685031,3134.5
43.01314893,77.00712906,3148.2
43.01331427,77.00736278,3157.2
43.01360076,77.00754418,3176.2
43.01378408,77.00769007,3189
43.01411644,77.00787558,3210.7
43.01434533,77.00802429,3227
43.01469448,77.0081335,3252.7
43.01489743,77.00821337,3268.7
43.01517195,77.00824233,3286
43.01542299,77.00833844,3301.4
43.0156429,77.00833721,3313
43.01581159,77.0083142,3321.5
43.01612627,77.0083396,3340.7
43.01628807,77.00815977,3346.3
43.01635289,77.00794917,3345.2
43.01650421,77.00745749,3341.6
43.01661483,77.00711371,3336.5
43.01672686,77.00677444,3331.3
43.01683994,77.00643677,3324.1
43.01690879,77.00623472,3319.5
43.01697741,77.00603331,3314.8
43.01718243,77.00556961,3308.2
43.01705735,77.00544253,3297.5
43.01683487,77.00528123,3279.4
43.01649495,77.0051644,3255.4
43.01619898,77.00505593,3234.5
43.01585052,77.00492503,3209.5
43.01559989,77.00482993,3194.1
43.01534616,77.00472657,3179
43.01488739,77.0045419,3154
43.01427071,77.00429296,3121.9
43.01403148,77.00410481,3110.6
43.01363234,77.00383825,3098.8
43.01354982,77.00372092,3093.3
43.01317871,77.00354762,3079.1
43.01296788,77.00345685,3068.8
43.01272746,77.00327582,3054.2
43.01192658,77.00291667,3026.4
43.01127649,77.00259172,3016.7
43.01100483,77.00245439,3013.8
43.01051625,77.00221663,3005.4
43.01008077,77.00200754,3000.7
43.00975154,77.00182404,3001.1
43.00920269,77.00151023,3009.6
43.00892803,77.0013425,3016.8
43.00865392,77.00118047,3023.9
43.00824865,77.00103091,3035
43.00757194,77.00069321,3068.6
43.00709434,77.00055313,3085.2
43.0063659,77.00022605,3103
43.00567019,77.00000803,3113.3
43.00505134,76.99974531,3123.8
43.00488869,76.99965292,3127.1
43.00459622,76.99957163,3132.9
43.00432595,76.99941557,3139
43.00400188,76.99922844,3145.9
43.00343918,76.99899586,3154.5
43.0028444,76.99865979,3162.1
43.0024438,76.99852171,3167.6
43.00201281,76.99827479,3173.1
43.00155695,76.99811063,3179.9
43.00118095,76.99789359,3186.8
43.00069876,76.99761207,3196.9
43.00003595,76.99731131,3210.8
42.99966082,76.99709613,3217.4
42.99910112,76.99686746,3225.7
42.99861626,76.99659696,3232.4
42.99824171,76.99638278,3238.7
42.99765575,76.99604361,3251.1
42.9972829,76.99582862,3258.9
42.99680322,76.99555355,3268.8
42.99627559,76.99524253,3282.1
42.99596017,76.99505544,3289.4
42.99566678,76.9947949,3299.3
42.99526938,76.99447211,3313
42.99487613,76.99414641,3325.7
42.99456623,76.99395711,3337.8
42.99407298,76.99356859,3354.4
42.99360076,76.99329465,3365
42.9933381,76.99314313,3370.3
42.99297065,76.99293117,3377.6
42.99249273,76.99266332,3384.3
42.99211772,76.99245754,3389.8
42.9915422,76.99212495,3398.5
42.99149034,76.99209449,3400
42.99129922,76.99190285,3403.5
42.99094099,76.99168686,3413
42.99068859,76.99153103,3420.6
42.99040214,76.99127454,3428.9
42.99009989,76.9910885,3440.3
42.98974651,76.99087269,3454.6
42.98930442,76.99059004,3477.3
42.98901359,76.99040077,3497.7
42.98853972,76.9900285,3538.7
42.98822868,76.9897992,3568.4
42.9880068,76.98963657,3589.3
42.98763106,76.98927367,3625.2
42.98730373,76.98894455,3656.7
42.98688528,76.98855656,3696.3
42.98659197,76.98833209,3722.6
42.9863382,76.98807835,3733.6
42.98595596,76.98777675,3745.1
42.98576413,76.98759416,3745.9
42.98541378,76.98732699,3752.5
42.98499585,76.98699317,3766.5
42.98469329,76.98677939,3792.3
42.98450938,76.98655432,3808.9
42.98422721,76.98633838,3836.4
42.98394079,76.98612525,3862.2
42.98365262,76.98591399,3885.9
42.98341975,76.98583507,3905.4
42.98324715,76.98571711,3922.9
42.9829415,76.98557777,3956.9
42.9826711,76.98543314,3989.7
42.98247137,76.98531415,4014.4
42.98238329,76.98522058,4023.1
42.98213524,76.98511192,4042.3
42.981938,76.98506669,4056.3
42.98165069,76.9849001,4079.9
42.9814593,76.98478912,4082.5
42.98112779,76.9846946,4082.1
42.98087142,76.98455832,4082.7
42.98054003,76.98439772,4083.6
42.98033822,76.98428808,4084.9
42.98009756,76.98414956,4086.6
42.97990315,76.98403915,4089
42.97971919,76.9836958,4094.1
42.97982428,76.98345202,4089.9
42.97995254,76.98313898,4082.6
42.980081,76.98282544,4075.9
42.98019396,76.98257976,4070.8
42.98037304,76.9822929,4062.4
42.98055532,76.9822387,4058.7
42.98078635,76.98227974,4056.6
42.98107256,76.98234803,4059
42.98137062,76.98234812,4060.9
42.98193318,76.98245426,4070.3
42.98217603,76.98256127,4076.5
42.98240049,76.9826023,4078.9
42.98262956,76.98274097,4069.5
42.9828197,76.98288315,4051.1
42.98309646,76.98311466,4017.1
42.98314359,76.98324207,4007.1
42.9832856,76.98335895,3985
42.98352655,76.98353235,3955.8
42.98388163,76.98379499,3912.7
42.98405876,76.98394462,3889.2
42.98423403,76.98409569,3864.1
42.98441049,76.98424775,3839
42.98462824,76.98443082,3810.6
42.98482094,76.98458283,3786.3
42.98498985,76.98470271,3765.8
42.98529614,76.9849119,3737.4
42.98555976,76.98509173,3715.9
42.98578099,76.98524215,3700
42.98615398,76.98548033,3677.9
42.98648333,76.98568897,3660.1
42.98662203,76.98577925,3652.9
42.98698318,76.98602312,3634.3
42.98721567,76.98617453,3621.2
42.98765383,76.98644355,3597.4
42.98773614,76.98657377,3594.8
42.98802032,76.98682218,3586.7
42.98825212,76.98704179,3580.5
42.98856557,76.9873276,3563.3
42.98875161,76.98745193,3549.6
42.98904983,76.98774532,3522.3
42.98935029,76.98797545,3496.5
42.98973698,76.98833915,3463.1
42.98988066,76.98843373,3451.4
42.99003527,76.988524,3441
42.99039636,76.98873486,3430.4
42.99077772,76.98887363,3419.6
42.99102933,76.98902783,3412.4
42.9915608,76.98926115,3395.8
42.99186658,76.98944599,3383.9
42.99224722,76.98958775,3371.5
42.99245223,76.98971114,3364.6
42.99268046,76.98976033,3359.6
42.99315467,76.99003179,3348.3
42.99326108,76.99009157,3346.6
42.99360286,76.99019677,3341.7
42.99397658,76.99040538,3336.4
42.99419018,76.99052462,3333.4
42.99464978,76.99086625,3328.2
42.99503319,76.99125275,3321.3
42.99560034,76.99165419,3314.1
42.99619173,76.99197988,3307.6
42.996566,76.99218906,3303.2
42.99681072,76.99241339,3299
42.99733907,76.99271968,3287.4
42.99765335,76.99290738,3280.2
42.99775935,76.992969,3277.8
42.99818527,76.99321229,3266.9
42.99858171,76.99334988,3259.4
42.99887173,76.99342626,3255.6
42.9991925,76.9936084,3249.5
42.99948111,76.99368707,3242.1
42.99992607,76.99386417,3230.2
43.00037174,76.99404198,3219.5
43.00071359,76.99415447,3212.3
43.00121964,76.9943538,3203.4
43.0013809,76.99444546,3200.6
43.00175694,76.99466033,3193.3
43.00213332,76.99487539,3185.9
43.00254271,76.99519389,3179
43.00273724,76.99538865,3174.9
43.00293049,76.99558713,3170.5
43.00319851,76.99574558,3164.3
43.00357522,76.9959647,3154.6
43.00400707,76.99621273,3144.9
43.00444098,76.99645526,3138.9
43.0045494,76.99651614,3137.8
43.00505937,76.9967161,3132.8
43.0054611,76.99685524,3126.2
43.0058959,76.99709541,3119.1
43.00605894,76.99718548,3116.7
43.00643943,76.99739667,3112.2
43.00678738,76.99750545,3108.3
43.00702657,76.99755239,3104.8
43.00718972,76.9976428,3102.5
43.00740733,76.99776496,3099.6
43.00780993,76.99790953,3089.8
43.00808194,76.99806864,3081.6
43.00824531,76.99816603,3076.4
43.00859474,76.99830768,3060.2
43.00900034,76.99847931,3039.3
43.00929627,76.99856164,3030
43.00962454,76.99874121,3026.4
43.01003048,76.99888509,3021.6
43.0102502,76.99901248,3015.5
43.01061332,76.99931395,3004.8
43.01072357,76.99937918,3001.7
43.01120965,76.99993519,2985.6
43.01133135,77.00018421,2982.1
43.01152964,77.00038223,2978.8
43.01183272,77.00061892,2978.5
43.01216963,77.00096599,2983.8
43.0124508,77.00127964,2990.6
43.01277461,77.00143821,2995.9
43.01302061,77.00163986,3002.7
43.01334251,77.0017951,3010.3
43.01350317,77.00187258,3015.1
43.01382406,77.00202784,3025.2
43.01419252,77.00219069,3037.4
43.0144537,77.0023028,3051
43.01471396,77.00241452,3065.2
43.01502315,77.002542,3082.5
43.01533351,77.00267674,3097.7
43.01548902,77.00274655,3105.4
43.01576923,77.00278822,3115.8
43.016152,77.00287721,3135.2
43.01637666,77.00288944,3145.5
43.01662563,77.00298597,3161.2
43.01684732,77.00299433,3175.3
43.01704387,77.0030685,3191.7
43.01728692,77.00315679,3211.5
43.01757735,77.00326244,3234.1
43.01786583,77.00336763,3254.6
43.01805716,77.00343739,3268.9
43.01817688,77.00325625,3266.4
43.01824408,77.00289471,3255.6
43.0182896,77.00260402,3246.6
43.01838357,77.00217926,3229.6
43.01840427,77.00179814,3212.7
43.01840081,77.00148291,3197.6
43.01829909,77.00127966,3187.1
43.01800725,77.00116191,3164.6
43.01781192,77.00108347,3149.8
43.01771398,77.00104413,3142.5
